song,artist,20241105,20241029,20241022,20241015,20241008,20241001,20240924,20240917,20240910,20240903,20240827,20240823,20240820,20240813,20240806,20240730,20240723,20240716,20240709,20240702,20240625,20240618,20240616,20240611,20240604,20240521,20240519,20240514,20240507,20240430,20240416,20240414,20240409,20240402,20240325,20240319,20240312,20240310,20240305,20240227,20240220,20240213,20240206,20240204,20240130,20240123,20240116,20240109,20240102,20231219,20231212,20231210,20231205,20231128,20231121,20231114,20231107,20231031,20231024,20231017,20231010,20231003,20230926,20230919,20230912,20230905,20230829,20230822,20230815,20230808,20230801,20230725,20230718,20230711,20230704,20230627,20230620,20230613,20230606,20230530,20230523,20230516,20230509,20230502,20230425,20230418,20230411,20230404,20230328,20230321,20230314,20230307,20230228,20230221,20230214,20230207,20230131,20230124,20230117,20230110,20230103,20221227,20221220,20221213,20221206,20221129,20221122,20221115,20221108,20221101,20221025,20221018,20221011,20221004,20220927,20220920,20220913,20220906,20220830,20220823,20220419
Fuck Her Gently,Tenacious D,A,,A,G,,A,,A,,A,,,,A,,,,A,,,,,A,,,A,A,,G,,,,,,,,,,,A,,A,,,,A,,,,,A,,,,,,A,,,,,,,,A,,,,,,,,,A,A,,,,A,,,,A,,,,,A,,,,,,?,A,A,?,,,,,,?,,,,,,,,,?,,,,,?,,,?,
Fuck You,Cee Lo Green,,,,A,,,,,,A,,,,,,A,,,,,,,,,,,,A,A,,,,A,,,A,,A,,A,,,,,A,A,,,,A,G,,A,,,,,,A,A,,,A,,,,A,,,,A,A,,,A,,,G,A,G,A,,,G,A,A,,A,A,A,?,,A,,,,?,?,?,,?,?,,,,?,?,?,?,,,,?,,?,,,,?,,?
Gangsta's Paradise,"Coolio, L.V.",,,,A,,A,,,,,,,A,,A,,,,A,,,G,,,,,,,A,G,,G,,A,,A,,,,,,,A,,,A,A,,,,,A,A,A,,A,,,,A,,,,,,G,A,A,A,A,,A,,A,,,,,S,G,,A,A,,A,A,A,,,A,?,,,?,,A,?,?,,A,?,?,?,,,?,,,?,,,?,?,?,,,,,,,
Ghostbusters,Ray Parker Jr.,,A,A,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,
Give Peace A Chance,Plastic Ono Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?
Grace Kelly,MIKA,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groove Is in the Heart (in G),Deee-Lite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand in My Pocket,Alanis Morissette,G,,,,,,,,,,,A,,G,,,,,,A,,,,A,A,G,G,,G,,,G,,,,,,,,,,,,A,A,,,,,,,A,,,G,,,,,G,G,,G,,,,G,,,,,G,,,,,G,G,,A,A,,A,,,,,,,G,,A,,,,,,,,,,,,,,,?,,,,,,,,,?,?,,,,
Happy Birthday To You (in D),Traditional,,G,,G,G,A,,G,G,,A,,,A,,G,G,G,,A,,,,A,,,G,,,,,G,G,,,,A,G,,,,A,,,,,,,,,,,,A,,A,A,,,,,G,A,,G,,,A,,,,A,,,A,,,A,,,,A,,,,A,A,,,,,,,?,,A,,?,?,,?,,,,?,?,?,,?,?,,,,,,?,?,,,,
Happy Xmas (War is Over),"John Lennon, Yoko Ono",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,
Hate To Say I Told You So,The Hives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,G,,,,,,,,,,G,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,?,,,
Heartbeats,The Knife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Here Comes the Morning,Ukulele Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,
Heroes (single version),David Bowie,A,,,,A,,,,,,A,A,,,A,,,,,,A,G,A,A,,,,,A,,,,,,G,,,G,,,,,,A,A,,,A,,,,,,,A,,,,,,,,,G,A,,A,,,,G,,,,,,,,,,A,,,,,,,,,,,,,,,,,?,,,?,,,,,,,,,,,,,,,,,,,,
Hey Jude,The Beatles,,,,,A,,,A,,,G,,A,,A,,G,,,,,,A,,,,,A,,,,A,,,A,,,,,,A,,A,,A,A,,,,,A,,,A,A,,,,,,G,G,G,,,G,,,,,,A,,,A,,,,,,,A,A,,A,,,,,,,,,,,,,?,,,,,?,?,,,,?,?,,,,?,?,,,,,,?,
Hey Ya,OutKast,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway to Hell,AC/DC,,A,,A,,,,A,G,,,A,,,G,,,,,,,,,,,,,,,A,,,,A,,,,G,,,A,,,,A,A,G,,A,G,A,,,,A,A,,,,A,G,A,A,A,,A,,,,A,A,,A,A,,,,,,A,A,A,A,A,,A,,,,A,?,,A,,,A,?,,?,A,,,,?,?,?,?,?,?,?,?,,,,,,,,,,
Ho Hey,The Lumineers,,,,,,A,G,,,G,G,,,,,,,,,A,,,,G,,,,,,,A,,,,,,,,,A,A,,A,,,,,,,,,A,,A,G,,,,A,A,,,,A,,,G,,,,,A,,,,,,A,A,G,,,G,,A,,G,,,G,,,,,,,?,,?,A,?,,,,,?,?,?,,,,,,,,,,?,,,
Holding Out for a Hero,Bonnie Tyler,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,G,,,,,,,,,,,,,,A,,A,,,,,,,,,,,,,,,A,,A,,,A,,,,,A,,,,,,,,G,,A,,G,,G,,A,,A,,,A,,A,,,,?,,,,,,,,?,?,,,,,,,,,,,,?,
Hot N Cold,Katy Perry,,,,,,,,,G,,,,,A,G,,A,,G,,,,,,G,,,G,,,,,,,,,,,,,,A,,G,A,A,,,G,,A,,,,,,,,,,G,,,,,,,,,,,A,,,,A,,,G,,,,,A,,,A,,,,,G,,,A,,,,,,,,,,,?,,,,,,,,,,,,?,,,
Hotel California,The Eagles,,A,A,,A,,,,,,,A,A,A,,,,,,,,,,,A,,,,,,A,,,,,,,,,,,,,A,,,,A,A,,,,A,,,,,A,,,,,,,,,,A,,,,,A,,A,,,,A,,,,A,,,,,,A,,,,,,,,?,?,?,,,?,,,,,,,?,?,,,,,?,,?,,?,,
Hotel Yorba,The White Stripes,G,,,,,G,,G,A,A,A,A,G,A,,A,,A,,A,,G,A,,A,A,,,A,G,,A,A,,A,A,,G,,A,,,A,,A,,,A,G,,A,A,G,,,,,,A,G,,A,,,,A,,A,A,A,A,,A,,A,,,,,A,,,G,,,A,A,A,,A,?,,A,,A,A,?,?,,A,,?,?,,,?,,?,?,,?,,,?,,,?,,?,?,
House Of Gold,Twenty One Pilots,A,,,,,,,A,,,,,G,,,,,A,,,,,A,,,A,A,,,A,,,,,A,,,,A,,,,A,,,A,,,,,G,,,,,,,,,G,,,,,,G,,,,A,,,A,,,,,,,A,,,,,A,,A,,,,,,A,,,,,,,A,,?,?,,,,,,?,,,,,,,,,,,,
House of the Rising Sun,The Animals,,,,,,,,A,,,,,,A,,,,,,,,,,A,A,,,,,,,,,A,A,,,G,,,,,,,,A,,A,,,,,,,A,,A,,,,,,A,A,,,,,,,,,,,A,,,,,A,A,,,,,,,,,,,,,,,,,,,,,?,,?,,,,,?,,,,,,,,,,?,,?
Hysteria,Muse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,?,,,,,,,,,,
I Feel Love,Donna Summer,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Kissed A Girl,Katy Perry,A,,,,,,,,,,G,,,,,,,,,,A,,,,,,,A,,A,,,,A,,,G,,,,,,,,A,A,,A,A,A,,,G,A,A,,A,,,A,A,A,,G,,,,G,,,,,,,,G,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Love It (feat. Charli XCX),Icona Pop,,,,,,,,,,G,,,,,,,,,,,A,,,,,,,,,,,,,G,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,A,,,,,,G,A,,,,G,,,,,,,A,,,G,,A,A,,A,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Love Rock 'N Roll,Joan Jett & The Blackhearts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Love You Always Forever,Donna Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Only Want To Be With You,Dusty Springfield,,,,,,,,,,A,,A,,,,,,A,,,A,,,,,,,,,,,,,,G,,,,,,,,,,G,,,,,A,,,,,,,G,,,,,,,,A,,,,,,,,,,,G,A,,,A,,,,,,,,,A,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Say a Little Prayer,Aretha Franklin,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Think We're Alone Now,Tommy James & The Shondells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,?,?,,,,
I Want to Break Free,Queen,,,,,A,,,,A,,,,,A,A,A,,,,,,,,,,,,,,,,,A,,,,,,A,,,,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,A,,,A,,,,,,A,,,,,,?,,,,,,,,,,,?,,?,?,,,,,
I Will Survive,Gloria Gaynor,,,,A,,,A,,,,,,G,,A,,A,,A,,A,,,A,,,,A,A,A,,G,,A,,,,G,A,,,,G,,,,,A,,,,,,A,,A,,,,,,,,A,,,,A,,,,,,,,,,,A,,,,A,,,,,,,,,A,,,,A,?,?,,,?,,,?,,?,,?,,,,,,,?,?,,?,,,?
I'm On Fire,Bruce Springsteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm Shipping Up To Boston,Dropkick Murphys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imagine,John Lennon,,,,,,,,A,,,,A,,,,,A,,,,,,,,A,,,,,,A,,,,,,,,,,,,,,A,G,,,,,,,,G,,,,,,G,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,?,?,,,,,,,,,,?,,,?
In Bloom,Nirvana,,A,,,,,,,,,A,,A,,A,A,,,,,,,,,,A,,,,A,,,,A,,,,,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,A,,G,,,,,,,,,,,,,,,,,,,,,,?,,?,,,,?,,,,?,,,?,,,,,,,,?,?
In Too Deep,Sum 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Island In The Sun,Weezer,,,,,,,,,,,,,,,,A,,,,,,,A,,A,A,,,,,G,,,,,,,,,,A,,,,,,,,A,A,,,,,,,,,,,,,,,,G,,,,G,,A,A,,,,,,,,,,G,,,,,,,A,,,,,,,,,,,,?,,,,,?,,,,,,,,,,,,,,
Islands in the Stream,"Dolly Parton, Kenny Rogers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It Must Have Been Love,Roxette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I’ve Been Everywhere,Johnny Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Je t'aime... moi non plus,Jane Birkin & Serge Gainsbourg,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy,Pearl Jam,,,,,,,,A,,,,,,,,,,,,,,,,,,A,,,,,,,A,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,?,,?,?,?,,,,,,,,,,
Jingle Bell Rock,Bobby Helms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jolene,Dolly Parton,,,,A,A,,,,A,A,,,,A,,,A,,A,A,,,,,,,A,,A,,,,A,,,,,,,A,A,,,,,A,,,A,,,,,,,,,,,,,,A,,,,,,,,A,,,A,A,A,A,,,,A,,A,,,,,,,,,G,,,,A,?,,,,?,?,,,,,?,,,,,,?,,?,?,,,?,,?
Jump in the Line,Harry Belafonte,,,,,,,,,,A,A,,A,,,A,,,,,,,,,,,A,,,,A,,,,,,,,,,,,,A,,,G,,,,,,,,,,,,,,,G,,,,G,,A,,,,,,,,,,,,,,A,,A,A,,G,G,A,,,,A,,,A,,?,?,,?,?,?,,,?,,,,,?,,,,?,?,?,?,,?,
Just A Girl,No Doubt,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,A,A,,A,,,,A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,?,,?,,,,,,,,,?,,,,,
Just Can't Get Enough,Depeche Mode,,,,,,,,,,,A,,,,,,G,,,,,,,,,,,,A,,,G,,,G,,,G,,,,A,,,,,,,,,,,,,,,,,,,,G,,A,A,,,A,G,,G,A,,G,,,,,,A,,,,,A,,A,A,,A,,,,?,A,,,?,?,,?,?,?,?,?,,?,?,?,,?,,?,,?,,?,?,?,,
Karma Chameleon,Culture Club,,,,,,,,,,,,A,,A,,,,,,,,,A,,A,A,A,,,,,,A,,,A,,A,,,,,,,,,,,A,,,,A,,,A,A,,,A,,,,A,,,,,,,,,,,,A,,,A,A,,,,,,,,,,,?,,,,,,,,,,?,,,,,,,,,,?,,,?,?,,,,,,
Kids,MGMT,A,,A,,,,,,A,,,,,,A,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,A,,,,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,?,,,,,?,,,,,,?,,
Kids in America,Kim Wilde,,,,,,G,,,,,,,,,,,,,A,,,,,A,,,,,,,,,A,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiss/Mustang Sally Medley,Prince/The Commitments,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,A,,,,G,,,,A,,A,,,,G,,,G,,,,,,,,,,,,,,,,,,,A,,G,A,,,A,,,,,,,G,,,,,,,,G,,G,,A,,,,,,A,,?,?,,,?,?,,,,,,?,,,?,?,?,,,,,,,,
L'italiano,Toto Cutugno,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,A,,,,,,A,,,,,,,,A,,,,,,A,,G,,A,,,,,,,,,,G,,,,A,,,,,,,,,,,?,,,,,,,,,,?,,,?,,,,?,,,,,,,,,,
La Marseillaise (abridged),Rouget de Lisle,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Madonna,The Beatles,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,G,G,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,?,,,?,,,,,?,,,,,?,,,?,,,,,,,,,,?,,?,,?
Lambada,Kaoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Christmas,Wham!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,?,?,,,,,,,,,,,,,,,,
Lava,"Kuana Torres Kahele, Napua Greig, James Ford Murphy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Banana Split,Lio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learn to Fly,Foo Fighters,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,A,A,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,G,,,,,,,,,,,A,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,?,?,,
Les Champs-Élysées,Joe Dassin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let it Be,The Beatles,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,A,,,,G,,A,A,,,,,,,,,,,,,,,A,,,A,A,A,,,,,G,,,,G,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linger,The Cranberries,,,,,,,,,,,,A,,,,A,,,G,,,,A,,,,A,,,,,,,A,,A,,,A,,A,,,,,,,G,A,,,,,,,G,,,,A,,,,A,,,,,,,G,,,,,,,,,,,,,,,,,,,,?,A,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,
Little Lion Man,Mumford and Sons,A,,,,A,,,,A,A,,,,G,A,,A,,A,,,A,,,A,,A,A,,,A,G,A,A,A,,,G,,A,A,,A,A,,,,A,A,A,A,,,,,,A,,A,A,G,A,,A,A,,,A,,A,A,,A,,,,,A,A,,A,,A,,A,,A,,A,,?,,A,,,A,?,,,A,?,,?,?,,,?,?,,,?,?,?,,?,?,,?,,,?
Little Talks,Of Monsters And Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live is Life,Opus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livin' on a Prayer,Bon Jovi,A,,,,,A,,,,A,,,,,,A,,,,A,,,,,,,,G,A,A,A,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,A,A,,,,,A,,,,,,,,A,A,,,,,,,,,,,,,A,,,,A,?,,,,,,,,,,,?,,,,?,,,,,?
Lola,The Kinks,,,,,,A,,,,,,,,,,,A,,,,A,,A,,,,,,,,,,,,,,,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,A,,,,,,,,A,,,,?,,,?,,,,,,,,,,,,?,?,,,,,,
Losing My Religion,R.E.M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Machine,Girls Aloud,G,,,,,,,,,,A,,,,,G,,,,,,,,,G,,,,G,G,G,,,,,,A,,A,G,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Me Do,The Beatles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka,Suzanne Vega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macarena (Bayside Boys Remix),Los Del Rio,A,,,,,,A,,,,,A,,A,A,,A,,,,,,,,,,,A,,,,,,A,,,,,,,,,,,,,A,,,,,A,,,A,,G,,,,,,,,,,,,,,,,,A,,,,A,,G,,,,,,,,,,,,,,?,,A,,,,,,?,,,,,,,,,?,,,,,,,,?,,?
Mah Na Mah Na,Mahna Mahna and The Two Snowths,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man! I Feel Like A Woman!,Shania Twain,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,A,,A,A,,,,,,,,,,,,,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,?,A,,,,,,?,,,,,,,?,?,?,?,,,,,
Material Girl,Madonna,G,,,,,,,,,,A,,,,,,A,,,,,A,,,,,A,,,,A,,,,,,,G,,A,A,,,,,A,G,,,A,,,,,,,,,,A,A,,A,,,,,A,,A,G,,,A,,A,A,A,,,,,,G,,A,A,A,,A,,G,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merry Christmas (I Don't Want to Fight Tonight),Ramones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merry Christmas Everyone,Shakin' Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merry Xmas Everybody,Slade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,
Minor Moon,Creedence Clearwater Revival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,
Misirlou,Dick Dale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistletoe and Wine,Cliff Richard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moi... Lolita,Alizée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Mash,Bobby (Boris) Pickett and the Crypt-Kickers,,G,G,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,
